accession,symbol,description,log2FC,pval,padj
O95997,PTTG1,Securin OS=Homo sapiens OX=9606 GN=PTTG1 PE=1 SV=1,-0.365690940993454,2.754444396650863e-10,1.8212386350655505e-06
Q15397,PUM3,Pumilio homolog 3 OS=Homo sapiens OX=9606 GN=PUM3 PE=1 SV=3,-0.4118322970515491,6.484768263950234e-10,2.1438643880619472e-06
Q14527,HLTF,Helicase-like transcription factor OS=Homo sapiens OX=9606 GN=HLTF PE=1 SV=2,-0.5340664334006182,1.6877240781247144e-09,3.7197438681868708e-06
Q587I9,SFT2D3,Vesicle transport protein SFT2C OS=Homo sapiens OX=9606 GN=SFT2D3 PE=2 SV=1,-0.6882913066075911,2.33122205492992e-09,3.722612934074058e-06
Q969X6,UTP4,U3 small nucleolar RNA-associated protein 4 homolog OS=Homo sapiens OX=9606 GN=UTP4 PE=1 SV=1,-0.44231577222842633,2.815043053595023e-09,3.722612934074058e-06
Q9Y620,RAD54B,DNA repair and recombination protein RAD54B OS=Homo sapiens OX=9606 GN=RAD54B PE=1 SV=1,-0.38413494582087004,4.360393355916755e-09,4.805153478220264e-06
P05388,RPLP0,60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1,-0.18460138849112173,6.203624802390999e-09,5.227327841940733e-06
P60228,EIF3E,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1,-0.27984433564382494,6.802450373422652e-09,5.227327841940733e-06
Q9ULT8,HECTD1,E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens OX=9606 GN=HECTD1 PE=1 SV=3,-0.3734104573196144,7.115237534402086e-09,5.227327841940733e-06
Q96IZ0,PAWR,PRKC apoptosis WT1 regulator protein OS=Homo sapiens OX=9606 GN=PAWR PE=1 SV=1,-0.4987709907675439,8.378423228694037e-09,5.5398134388124974e-06
Q9UNQ2,DIMT1,Probable dimethyladenosine transferase OS=Homo sapiens OX=9606 GN=DIMT1 PE=1 SV=1,-0.2875596170933792,1.0788968954532689e-08,5.6204594926469526e-06
O75369,FLNB,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2,-0.7273657309343755,1.1294116994045427e-08,5.6204594926469526e-06
Q9NS91,RAD18,E3 ubiquitin-protein ligase RAD18 OS=Homo sapiens OX=9606 GN=RAD18 PE=1 SV=2,-0.7080219664546119,1.1387798756183362e-08,5.6204594926469526e-06
Q71RC2,LARP4,La-related protein 4 OS=Homo sapiens OX=9606 GN=LARP4 PE=1 SV=3,-0.44370426058253565,1.1920513902124748e-08,5.6204594926469526e-06
Q9Y3C1,NOP16,Nucleolar protein 16 OS=Homo sapiens OX=9606 GN=NOP16 PE=1 SV=2,-0.4533474277828693,1.2750588685678206e-08,5.6204594926469526e-06
Q99952,PTPN18,Tyrosine-protein phosphatase non-receptor type 18 OS=Homo sapiens OX=9606 GN=PTPN18 PE=1 SV=2,0.3287469269205492,1.3703874934972767e-08,5.663126316877496e-06
P21333,FLNA,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,-0.8152505783595672,1.6676200537310226e-08,6.298771074891536e-06
Q14008,CKAP5,Cytoskeleton-associated protein 5 OS=Homo sapiens OX=9606 GN=CKAP5 PE=1 SV=3,-0.34797870314529744,1.7768964772809985e-08,6.298771074891536e-06
P62328,TMSB4X,Thymosin beta-4 OS=Homo sapiens OX=9606 GN=TMSB4X PE=1 SV=2,0.42631016939696353,1.809991688187223e-08,6.298771074891536e-06
Q86WA8,LONP2,"Lon protease homolog 2, peroxisomal OS=Homo sapiens OX=9606 GN=LONP2 PE=1 SV=1",-0.6752306792309648,2.1208286140800257e-08,6.591792089434295e-06
Q9NPD8,UBE2T,Ubiquitin-conjugating enzyme E2 T OS=Homo sapiens OX=9606 GN=UBE2T PE=1 SV=1,-0.9879937473607234,2.1626375527182866e-08,6.591792089434295e-06
Q9NZJ0,DTL,Denticleless protein homolog OS=Homo sapiens OX=9606 GN=DTL PE=1 SV=3,-1.440740793658968,2.1932762548026994e-08,6.591792089434295e-06
Q9UKL0,RCOR1,REST corepressor 1 OS=Homo sapiens OX=9606 GN=RCOR1 PE=1 SV=2,-0.10011893405026195,2.421522128108397e-08,6.961349700457705e-06
P46776,RPL27A,60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2,-0.2021088463069649,3.1534507777207524e-08,8.315469722728857e-06
P14598,NCF1,Neutrophil cytosol factor 1 OS=Homo sapiens OX=9606 GN=NCF1 PE=1 SV=4,0.626402663784861,3.175217226033833e-08,8.315469722728857e-06
O75534,CSDE1,Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2,-0.5318612323446321,3.269845928477772e-08,8.315469722728857e-06
P42285,MTREX,Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3,-0.43795767164294297,3.5749923356450064e-08,8.754759008623994e-06
P54619,PRKAG1,5'-AMP-activated protein kinase subunit gamma-1 OS=Homo sapiens OX=9606 GN=PRKAG1 PE=1 SV=1,0.17944323552996444,3.8013894806457685e-08,8.83969696660807e-06
Q8WUX1,SLC38A5,Sodium-coupled neutral amino acid transporter 5 OS=Homo sapiens OX=9606 GN=SLC38A5 PE=1 SV=1,-0.3728223892369028,3.8770600730737145e-08,8.83969696660807e-06
P02751,FN1,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5,0.8148851298430879,4.120437695422615e-08,9.081444680711443e-06
P19388,POLR2E,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4",-0.12380898226908454,4.812155534707802e-08,1.021390008541398e-05
Q13206,DDX10,Probable ATP-dependent RNA helicase DDX10 OS=Homo sapiens OX=9606 GN=DDX10 PE=1 SV=2,-0.4272526675552517,5.177493876939872e-08,1.021390008541398e-05
Q8NCF5,NFATC2IP,NFATC2-interacting protein OS=Homo sapiens OX=9606 GN=NFATC2IP PE=1 SV=1,-0.3514032058843786,5.203063032584243e-08,1.021390008541398e-05
Q13356,PPIL2,RING-type E3 ubiquitin-protein ligase PPIL2 OS=Homo sapiens OX=9606 GN=PPIL2 PE=1 SV=1,-0.17283720167189054,5.31171064944695e-08,1.021390008541398e-05
O14757,CHEK1,Serine/threonine-protein kinase Chk1 OS=Homo sapiens OX=9606 GN=CHEK1 PE=1 SV=2,-0.7025181253437494,5.406631926640794e-08,1.021390008541398e-05
P0DPB5,POLR1D,"Protein POLR1D, isoform 2 OS=Homo sapiens OX=9606 GN=POLR1D PE=1 SV=1",-0.5072315740986533,5.6372149505615415e-08,1.0353684792531364e-05
Q9H7B2,RPF2,Ribosome production factor 2 homolog OS=Homo sapiens OX=9606 GN=RPF2 PE=1 SV=2,-0.300980633080991,6.384705840056923e-08,1.140964189579902e-05
Q13823,GNL2,Nucleolar GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=GNL2 PE=1 SV=1,-0.6173941017540785,7.332790500363005e-08,1.2759055470631627e-05
Q9Y5J1,UTP18,U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens OX=9606 GN=UTP18 PE=1 SV=3,-0.3591559645418192,7.583999899336635e-08,1.2857796752413802e-05
Q96I99,SUCLG2,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 SV=2",0.16372938051709562,7.973035185179797e-08,1.3179427161102206e-05
P25686,DNAJB2,DnaJ homolog subfamily B member 2 OS=Homo sapiens OX=9606 GN=DNAJB2 PE=1 SV=3,0.32598879024905625,8.510831987328115e-08,1.3725273439076464e-05
P42331,ARHGAP25,Rho GTPase-activating protein 25 OS=Homo sapiens OX=9606 GN=ARHGAP25 PE=1 SV=2,0.20426997199452712,9.07619792822547e-08,1.4288528738434955e-05
Q3KQU3,MAP7D1,MAP7 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MAP7D1 PE=1 SV=1,-0.38831374083524983,9.492271152724378e-08,1.4362509947862628e-05
P53350,PLK1,Serine/threonine-protein kinase PLK1 OS=Homo sapiens OX=9606 GN=PLK1 PE=1 SV=1,-0.3911695563744333,9.694750600921144e-08,1.4362509947862628e-05
Q9BVS4,RIOK2,Serine/threonine-protein kinase RIO2 OS=Homo sapiens OX=9606 GN=RIOK2 PE=1 SV=2,-0.932073479852076,9.774847968146072e-08,1.4362509947862628e-05
Q8IUF8,RIOX2,Ribosomal oxygenase 2 OS=Homo sapiens OX=9606 GN=RIOX2 PE=1 SV=1,-0.34064466592274434,1.0169724907928106e-07,1.4406473961576184e-05
P11940,PABPC1,Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2,-0.27655814054307637,1.0240536542560204e-07,1.4406473961576184e-05
O43709,BUD23,Probable 18S rRNA (guanine-N(7))-methyltransferase OS=Homo sapiens OX=9606 GN=BUD23 PE=1 SV=2,-0.6335386679214864,1.0695337393832086e-07,1.4732827260003698e-05
Q9NZ63,C9ORF78,Telomere length and silencing protein 1 homolog OS=Homo sapiens OX=9606 GN=C9orf78 PE=1 SV=1,-0.29768066513020375,1.1607231574094583e-07,1.5662656156717017e-05
Q6PL18,ATAD2,ATPase family AAA domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ATAD2 PE=1 SV=1,-0.41145150391371965,1.3062920207208061e-07,1.727440568201194e-05
P52907,CAPZA1,F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,0.15263543319034767,1.3526755332416754e-07,1.737187104467657e-05
Q14690,PDCD11,Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3,-0.1300580926213626,1.3662088540882963e-07,1.737187104467657e-05
Q3B820,FAM161A,Protein FAM161A OS=Homo sapiens OX=9606 GN=FAM161A PE=1 SV=2,-0.28874850048900313,1.4895974609107837e-07,1.8583430965173777e-05
Q15269,PWP2,Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=2 SV=2,-0.19729722422131513,1.5663221801905498e-07,1.917874491744429e-05
Q9UNE7,STUB1,E3 ubiquitin-protein ligase CHIP OS=Homo sapiens OX=9606 GN=STUB1 PE=1 SV=2,-0.22631234528048072,1.6438775033606876e-07,1.9762396458583392e-05
P04839,CYBB,Cytochrome b-245 heavy chain OS=Homo sapiens OX=9606 GN=CYBB PE=1 SV=2,0.3496998236255461,1.899294728684943e-07,2.199756825944166e-05
P48735,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens OX=9606 GN=IDH2 PE=1 SV=2",0.27813485032184326,1.9274739215118568e-07,2.199756825944166e-05
Q13200,PSMD2,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,-0.3378924477358436,1.9296112508282156e-07,2.199756825944166e-05
Q9UKK3,PARP4,Protein mono-ADP-ribosyltransferase PARP4 OS=Homo sapiens OX=9606 GN=PARP4 PE=1 SV=3,-0.4139524701539165,2.0007678406477638e-07,2.2354773367881684e-05
A0PJW8,DAPL1,Death-associated protein-like 1 OS=Homo sapiens OX=9606 GN=DAPL1 PE=1 SV=2,0.8894570675656821,2.0285638264865413e-07,2.2354773367881684e-05
Q96Q89,KIF20B,Kinesin-like protein KIF20B OS=Homo sapiens OX=9606 GN=KIF20B PE=1 SV=3,-0.18910692120332553,2.141259284393165e-07,2.3209846538373127e-05
Q96CS2,HAUS1,HAUS augmin-like complex subunit 1 OS=Homo sapiens OX=9606 GN=HAUS1 PE=1 SV=1,-0.22041438327349225,2.1947315898784298e-07,2.3405750439155126e-05
Q9BWT6,MND1,Meiotic nuclear division protein 1 homolog OS=Homo sapiens OX=9606 GN=MND1 PE=1 SV=1,-0.30885396847696006,2.4298894226496213e-07,2.5098788691562325e-05
P40306,PSMB10,Proteasome subunit beta type-10 OS=Homo sapiens OX=9606 GN=PSMB10 PE=1 SV=1,0.3415230806195175,2.4658892429725e-07,2.5098788691562325e-05
Q15910,EZH2,Histone-lysine N-methyltransferase EZH2 OS=Homo sapiens OX=9606 GN=EZH2 PE=1 SV=2,-0.5882409351508067,2.4673642845607246e-07,2.5098788691562325e-05
Q7Z7N9,TMEM179B,Transmembrane protein 179B OS=Homo sapiens OX=9606 GN=TMEM179B PE=1 SV=1,0.3557407504532071,2.5514157109743995e-07,2.5537871097978665e-05
Q69YU5,C12ORF73,Uncharacterized protein C12orf73 OS=Homo sapiens OX=9606 GN=C12orf73 PE=3 SV=2,-0.431848200843435,2.6476476770919213e-07,2.5537871097978665e-05
Q01581,HMGCS1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=HMGCS1 PE=1 SV=2",-1.1883437030158959,2.6558694047283534e-07,2.5537871097978665e-05
Q5QJE6,DNTTIP2,Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens OX=9606 GN=DNTTIP2 PE=1 SV=2,-0.11576467680413893,2.66502284597781e-07,2.5537871097978665e-05
Q7Z460,CLASP1,CLIP-associating protein 1 OS=Homo sapiens OX=9606 GN=CLASP1 PE=1 SV=1,-0.3570027491078429,2.7046440115990005e-07,2.5547294578132274e-05
Q9NRL2,BAZ1A,Bromodomain adjacent to zinc finger domain protein 1A OS=Homo sapiens OX=9606 GN=BAZ1A PE=1 SV=2,-0.37219659785116743,2.766305487994678e-07,2.5761706882564523e-05
Q99439,CNN2,Calponin-2 OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=4,0.24391268915548459,2.9087465501112923e-07,2.667519099181095e-05
Q8IWZ3,ANKHD1,Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKHD1 PE=1 SV=1,-0.1951748816836565,2.962711899684793e-07,2.667519099181095e-05
Q9H0S4,DDX47,Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1,-0.30473183487925826,2.9854266990230044e-07,2.667519099181095e-05
Q16531,DDB1,DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1,-0.1843973188046779,3.061995013199023e-07,2.6994548036362584e-05
Q96P11,NSUN5,Probable 28S rRNA (cytosine-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NSUN5 PE=1 SV=2,-0.3543940666093901,3.118696689130073e-07,2.7132661195431635e-05
P52292,KPNA2,Importin subunit alpha-1 OS=Homo sapiens OX=9606 GN=KPNA2 PE=1 SV=1,-0.8611006650393405,3.3289694796030244e-07,2.8585904154721038e-05
Q02818,NUCB1,Nucleobindin-1 OS=Homo sapiens OX=9606 GN=NUCB1 PE=1 SV=4,0.24263760865434525,3.3732506568064233e-07,2.8594786336928295e-05
Q14141,SEPTIN6,Septin-6 OS=Homo sapiens OX=9606 GN=SEPTIN6 PE=1 SV=4,0.21161855156893772,3.496758422067372e-07,2.9266540109758812e-05
Q6SJ93,FAM111B,Protein FAM111B OS=Homo sapiens OX=9606 GN=FAM111B PE=1 SV=1,-0.5012492666079784,3.5857509111940354e-07,2.9636231281018702e-05
O75506,HSBP1,Heat shock factor-binding protein 1 OS=Homo sapiens OX=9606 GN=HSBP1 PE=1 SV=1,-0.31141830818804167,3.636297698447232e-07,2.968296343473222e-05
P40121,CAPG,Macrophage-capping protein OS=Homo sapiens OX=9606 GN=CAPG PE=1 SV=2,0.3161713321138757,3.753301508827349e-07,3.026442631264199e-05
P49736,MCM2,DNA replication licensing factor MCM2 OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=4,-0.29193919706953775,3.8429976732070136e-07,3.0499276653541656e-05
P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",-0.1925368675404835,3.9129215657765836e-07,3.0499276653541656e-05
Q13765,NACA,Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1,-0.24592158428101296,4.002928843539873e-07,3.0499276653541656e-05
O95139,NDUFB6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFB6 PE=1 SV=3,-0.2788986638011695,4.01738509822866e-07,3.0499276653541656e-05
Q6DD88,ATL3,Atlastin-3 OS=Homo sapiens OX=9606 GN=ATL3 PE=1 SV=1,0.14801784111809324,4.064314899071255e-07,3.0499276653541656e-05
Q9UBQ5,EIF3K,Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1,-0.21154069910952522,4.102413074791948e-07,3.0499276653541656e-05
Q15365,PCBP1,Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2,-0.11693025448380734,4.105317032917737e-07,3.0499276653541656e-05
Q9GZR7,DDX24,ATP-dependent RNA helicase DDX24 OS=Homo sapiens OX=9606 GN=DDX24 PE=1 SV=1,-0.31241753596394695,4.211039190200627e-07,3.072326635415643e-05
Q06323,PSME1,Proteasome activator complex subunit 1 OS=Homo sapiens OX=9606 GN=PSME1 PE=1 SV=1,0.2989793521810533,4.228398726902956e-07,3.072326635415643e-05
Q14152,EIF3A,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,-0.20630104169884156,4.3956815758677386e-07,3.121236589323263e-05
Q8IY81,FTSJ3,pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 OS=Homo sapiens OX=9606 GN=FTSJ3 PE=1 SV=2,-0.20070911185219442,4.428245241433635e-07,3.121236589323263e-05
Q9Y6A5,TACC3,Transforming acidic coiled-coil-containing protein 3 OS=Homo sapiens OX=9606 GN=TACC3 PE=1 SV=1,-0.30180779740251085,4.44396796732486e-07,3.121236589323263e-05
Q9H6T3,RPAP3,RNA polymerase II-associated protein 3 OS=Homo sapiens OX=9606 GN=RPAP3 PE=1 SV=2,-0.3122522521313078,4.615639366803529e-07,3.121236589323263e-05
Q15154,PCM1,Pericentriolar material 1 protein OS=Homo sapiens OX=9606 GN=PCM1 PE=1 SV=5,-0.34796079567141325,4.676668198414412e-07,3.121236589323263e-05
Q8TDN6,BRIX1,Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens OX=9606 GN=BRIX1 PE=1 SV=2,-0.22200836619725361,4.6865610574572e-07,3.121236589323263e-05
P61106,RAB14,Ras-related protein Rab-14 OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=4,0.15428268792695699,4.697944731020905e-07,3.121236589323263e-05
Q02543,RPL18A,60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2,-0.1182294190764619,4.7101546028080787e-07,3.121236589323263e-05
Q14566,MCM6,DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1,-0.28594343958616353,4.765075855668751e-07,3.121236589323263e-05
Q14493,SLBP,Histone RNA hairpin-binding protein OS=Homo sapiens OX=9606 GN=SLBP PE=1 SV=1,-0.6490027696954819,4.777153095322512e-07,3.121236589323263e-05
Q9H8V3,ECT2,Protein ECT2 OS=Homo sapiens OX=9606 GN=ECT2 PE=1 SV=4,-0.30712533320337315,4.8149747748181e-07,3.121236589323263e-05
Q96F07,CYFIP2,Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=2,0.1569470875736232,4.896950150035158e-07,3.14355673709053e-05
P62899,RPL31,60S ribosomal protein L31 OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1,-0.24471669703753118,5.011164746972855e-07,3.167377404666397e-05
Q8IUI8,CRLF3,Cytokine receptor-like factor 3 OS=Homo sapiens OX=9606 GN=CRLF3 PE=1 SV=2,0.1701875488609268,5.029864299606348e-07,3.167377404666397e-05
Q13535,ATR,Serine/threonine-protein kinase ATR OS=Homo sapiens OX=9606 GN=ATR PE=1 SV=3,-0.1751232783889849,5.230617173551431e-07,3.245453143229631e-05
Q9ULX3,NOB1,RNA-binding protein NOB1 OS=Homo sapiens OX=9606 GN=NOB1 PE=1 SV=1,-0.4225750353719038,5.25201884944904e-07,3.245453143229631e-05
P09917,ALOX5,Arachidonate 5-lipoxygenase OS=Homo sapiens OX=9606 GN=ALOX5 PE=1 SV=2,0.42640103513187655,5.430456345576623e-07,3.290926745788919e-05
Q8NEF9,SRFBP1,Serum response factor-binding protein 1 OS=Homo sapiens OX=9606 GN=SRFBP1 PE=1 SV=1,-0.44852514448025593,5.431389351492827e-07,3.290926745788919e-05
Q9NSP4,CENPM,Centromere protein M OS=Homo sapiens OX=9606 GN=CENPM PE=1 SV=1,-0.29103926635427274,5.474923503278601e-07,3.290926745788919e-05
Q8WU79,SMAP2,Stromal membrane-associated protein 2 OS=Homo sapiens OX=9606 GN=SMAP2 PE=1 SV=1,0.34254382673077777,5.680959702309381e-07,3.384009509159426e-05
Q9Y5A9,YTHDF2,YTH domain-containing family protein 2 OS=Homo sapiens OX=9606 GN=YTHDF2 PE=1 SV=2,-0.3744249004767697,5.877620343059748e-07,3.4698951525277725e-05
Q99442,SEC62,Translocation protein SEC62 OS=Homo sapiens OX=9606 GN=SEC62 PE=1 SV=1,0.22952020567029452,5.936718198816768e-07,3.4737682062457054e-05
Q92621,NUP205,Nuclear pore complex protein Nup205 OS=Homo sapiens OX=9606 GN=NUP205 PE=1 SV=3,-0.15811700438518583,6.023399474816745e-07,3.4744930435982964e-05
P28340,POLD1,DNA polymerase delta catalytic subunit OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=2,-0.1410039614804206,6.043053539228737e-07,3.4744930435982964e-05
Q9UIG0,BAZ1B,Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2,-0.17916669251822537,6.11519965505903e-07,3.485663803383647e-05
Q6PID6,TTC33,Tetratricopeptide repeat protein 33 OS=Homo sapiens OX=9606 GN=TTC33 PE=1 SV=2,-0.22596079669721436,6.19456679197612e-07,3.5007244126962486e-05
Q9NRZ9,HELLS,Lymphoid-specific helicase OS=Homo sapiens OX=9606 GN=HELLS PE=1 SV=1,-0.4410501836297949,6.349577462276874e-07,3.557915778014805e-05
O75190,DNAJB6,DnaJ homolog subfamily B member 6 OS=Homo sapiens OX=9606 GN=DNAJB6 PE=1 SV=2,-0.2327025443273234,6.438820746399236e-07,3.56173771947438e-05
Q9BVW5,TIPIN,TIMELESS-interacting protein OS=Homo sapiens OX=9606 GN=TIPIN PE=1 SV=2,-0.6264621579635966,6.46413379214951e-07,3.56173771947438e-05
Q9ULQ1,TPCN1,Two pore calcium channel protein 1 OS=Homo sapiens OX=9606 GN=TPCN1 PE=1 SV=3,0.4482326254111191,6.693639765719025e-07,3.657714556275553e-05
Q9H6R4,NOL6,Nucleolar protein 6 OS=Homo sapiens OX=9606 GN=NOL6 PE=1 SV=2,-0.10961711158243004,6.908353270091241e-07,3.726774711389927e-05
Q9UJX3,ANAPC7,Anaphase-promoting complex subunit 7 OS=Homo sapiens OX=9606 GN=ANAPC7 PE=1 SV=4,-0.2865968875892284,6.932747875090155e-07,3.726774711389927e-05
Q9UG63,ABCF2,ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2,-0.4636079902499102,7.062525675843092e-07,3.765920949086655e-05
O15164,TRIM24,Transcription intermediary factor 1-alpha OS=Homo sapiens OX=9606 GN=TRIM24 PE=1 SV=3,-0.28714433326266864,7.271987667563379e-07,3.846590596634325e-05
Q9BZX2,UCK2,Uridine-cytidine kinase 2 OS=Homo sapiens OX=9606 GN=UCK2 PE=1 SV=1,-0.5496338168704987,7.375367499243956e-07,3.870311897222305e-05
P58546,MTPN,Myotrophin OS=Homo sapiens OX=9606 GN=MTPN PE=1 SV=2,0.1886806966585386,7.732015538540179e-07,4.0255186410100524e-05
Q13895,BYSL,Bystin OS=Homo sapiens OX=9606 GN=BYSL PE=1 SV=3,-0.41218880983836925,7.863076419921657e-07,4.0340925329955634e-05
P31689,DNAJA1,DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2,-0.5146448902095666,7.870507210472288e-07,4.0340925329955634e-05
P78417,GSTO1,Glutathione S-transferase omega-1 OS=Homo sapiens OX=9606 GN=GSTO1 PE=1 SV=2,0.20610864356809433,7.981367231836274e-07,4.0594461643770335e-05
P09661,SNRPA1,U2 small nuclear ribonucleoprotein A' OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2,-0.13677798716282208,8.161351429376575e-07,4.1193019580944976e-05
Q53QZ3,ARHGAP15,Rho GTPase-activating protein 15 OS=Homo sapiens OX=9606 GN=ARHGAP15 PE=1 SV=2,0.16166094475545845,8.237486915971557e-07,4.126232082454843e-05
Q14807,KIF22,Kinesin-like protein KIF22 OS=Homo sapiens OX=9606 GN=KIF22 PE=1 SV=5,-0.240720274678204,8.307611590647123e-07,4.130069762207427e-05
Q5C9Z4,NOM1,Nucleolar MIF4G domain-containing protein 1 OS=Homo sapiens OX=9606 GN=NOM1 PE=1 SV=1,-0.4615105538083206,8.441599690890062e-07,4.1572396319542086e-05
Q7Z569,BRAP,BRCA1-associated protein OS=Homo sapiens OX=9606 GN=BRAP PE=1 SV=2,-0.19034493783998782,8.542471643247036e-07,4.1572396319542086e-05
Q9Y228,TRAF3IP3,TRAF3-interacting JNK-activating modulator OS=Homo sapiens OX=9606 GN=TRAF3IP3 PE=1 SV=2,0.14720394139580506,8.55088611533231e-07,4.1572396319542086e-05
P55081,MFAP1,Microfibrillar-associated protein 1 OS=Homo sapiens OX=9606 GN=MFAP1 PE=1 SV=2,-0.1901117008104687,8.756827826873301e-07,4.216645050568319e-05
Q9NW68,BSDC1,BSD domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BSDC1 PE=1 SV=1,0.2740740708014471,8.813268478736478e-07,4.216645050568319e-05
Q02556,IRF8,Interferon regulatory factor 8 OS=Homo sapiens OX=9606 GN=IRF8 PE=1 SV=2,0.3774358456899236,8.864392952646648e-07,4.216645050568319e-05
P49748,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1",0.27146219779421443,9.347450817545782e-07,4.397946254545464e-05
Q99541,PLIN2,Perilipin-2 OS=Homo sapiens OX=9606 GN=PLIN2 PE=1 SV=2,0.3693819569380372,9.443487790454019e-07,4.397946254545464e-05
P52732,KIF11,Kinesin-like protein KIF11 OS=Homo sapiens OX=9606 GN=KIF11 PE=1 SV=2,-0.4610293748536898,9.489937630337433e-07,4.397946254545464e-05
Q96D46,NMD3,60S ribosomal export protein NMD3 OS=Homo sapiens OX=9606 GN=NMD3 PE=1 SV=1,-0.38371410782980453,9.514803548805719e-07,4.397946254545464e-05
Q8TDD1,DDX54,ATP-dependent RNA helicase DDX54 OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=2,-0.27933308250308064,9.578104365616255e-07,4.397946254545464e-05
P46459,NSF,Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=3,0.19584861972185097,9.832016527842719e-07,4.48339953669628e-05
P31350,RRM2,Ribonucleoside-diphosphate reductase subunit M2 OS=Homo sapiens OX=9606 GN=RRM2 PE=1 SV=1,-0.5926055167769049,9.984698322496326e-07,4.494767053056871e-05
Q9H063,MAF1,Repressor of RNA polymerase III transcription MAF1 homolog OS=Homo sapiens OX=9606 GN=MAF1 PE=1 SV=2,-0.5620429803542951,9.992903157885058e-07,4.494767053056871e-05
