accession,symbol,description,log2FC,pval,padj
O14880,MGST3,Microsomal glutathione S-transferase 3 OS=Homo sapiens OX=9606 GN=MGST3 PE=1 SV=1,0.08312520327906547,0.5097401484801115,0.5806032492248919
Q96DI7,SNRNP40,U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP40 PE=1 SV=1,-0.04383737727430037,0.5099404425180349,0.5807313479037628
Q9BY50,SEC11C,Signal peptidase complex catalytic subunit SEC11C OS=Homo sapiens OX=9606 GN=SEC11C PE=1 SV=3,0.03846439697556969,0.510666115508372,0.5814576124920537
Q7L5D6,GET4,Golgi to ER traffic protein 4 homolog OS=Homo sapiens OX=9606 GN=GET4 PE=1 SV=1,0.023626717628458416,0.51087314287651,0.5815931853821426
Q8IVF5,TIAM2,T-lymphoma invasion and metastasis-inducing protein 2 OS=Homo sapiens OX=9606 GN=TIAM2 PE=2 SV=4,0.02931690265206166,0.5112786190129037,0.5819545926860594
Q9HA64,FN3KRP,Ketosamine-3-kinase OS=Homo sapiens OX=9606 GN=FN3KRP PE=1 SV=2,0.06048781266042416,0.511918814979964,0.5825829956364066
Q96HS1,PGAM5,"Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens OX=9606 GN=PGAM5 PE=1 SV=2",-0.026244307501681163,0.5126059093701174,0.583264545302911
Q9BYB4,GNB1L,Guanine nucleotide-binding protein subunit beta-like protein 1 OS=Homo sapiens OX=9606 GN=GNB1L PE=1 SV=2,0.010509180373767968,0.5128561256286838,0.5834488476697965
Q9C056,NKX6-2,Homeobox protein Nkx-6.2 OS=Homo sapiens OX=9606 GN=NKX6-2 PE=1 SV=2,-0.14799626552526401,0.5131457276642184,0.5836778859996236
Q9UNW9,NOVA2,RNA-binding protein Nova-2 OS=Homo sapiens OX=9606 GN=NOVA2 PE=1 SV=1,0.031179263424909065,0.5135627846826853,0.5840517943450148
Q6IQ49,SDE2,Replication stress response regulator SDE2 OS=Homo sapiens OX=9606 GN=SDE2 PE=1 SV=1,0.017523147767826444,0.513831974111406,0.584257439866658
Q8N806,UBR7,Putative E3 ubiquitin-protein ligase UBR7 OS=Homo sapiens OX=9606 GN=UBR7 PE=1 SV=2,-0.03841564571781242,0.5145066583253266,0.5849240070232221
P15924,DSP,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,-0.09422710518539468,0.5147767552538739,0.5851304634242074
P17066,HSPA6,Heat shock 70 kDa protein 6 OS=Homo sapiens OX=9606 GN=HSPA6 PE=1 SV=2,0.050836265477973264,0.5158344488129161,0.5861153181384962
Q86TB9,PATL1,Protein PAT1 homolog 1 OS=Homo sapiens OX=9606 GN=PATL1 PE=1 SV=2,-0.019481803425034527,0.5159119738820921,0.5861153181384962
Q96KC8,DNAJC1,DnaJ homolog subfamily C member 1 OS=Homo sapiens OX=9606 GN=DNAJC1 PE=1 SV=1,-0.09580237995541196,0.5159633100333364,0.5861153181384962
Q7Z309,FAM122B,Protein FAM122B OS=Homo sapiens OX=9606 GN=FAM122B PE=1 SV=2,-0.13920405069250652,0.5159977717610686,0.5861153181384962
Q92558,WASF1,Wiskott-Aldrich syndrome protein family member 1 OS=Homo sapiens OX=9606 GN=WASF1 PE=1 SV=1,-0.01714919708944118,0.5171171861632546,0.5872859558418825
O75449,KATNA1,Katanin p60 ATPase-containing subunit A1 OS=Homo sapiens OX=9606 GN=KATNA1 PE=1 SV=1,0.02670980975299453,0.5173820172650148,0.5874858145554315
Q15785,TOMM34,Mitochondrial import receptor subunit TOM34 OS=Homo sapiens OX=9606 GN=TOMM34 PE=1 SV=2,-0.007571621508887905,0.5177489544375371,0.5878015258827258
Q969V5,MUL1,Mitochondrial ubiquitin ligase activator of NFKB 1 OS=Homo sapiens OX=9606 GN=MUL1 PE=1 SV=1,0.04718276474431349,0.5184038907561528,0.5884440387432931
P23443,RPS6KB1,Ribosomal protein S6 kinase beta-1 OS=Homo sapiens OX=9606 GN=RPS6KB1 PE=1 SV=2,0.022296655429341117,0.5194354112421641,0.5895137211007877
Q96SK2,TMEM209,Transmembrane protein 209 OS=Homo sapiens OX=9606 GN=TMEM209 PE=1 SV=2,-0.010114833600910998,0.5215720034006814,0.5917946184980029
Q38SD2,LRRK1,Leucine-rich repeat serine/threonine-protein kinase 1 OS=Homo sapiens OX=9606 GN=LRRK1 PE=1 SV=3,-0.04470847247777865,0.5216241737154206,0.5917946184980029
