gene_id,log2FC,pval,padj,symbol
ENSMUSG00000039069,-0.19206480992969038,3.9769002840887536e-06,0.04641838011588393,Mtg2
ENSMUSG00000064363,0.33656732646837717,1.5248539561704442e-05,0.08899047688210712,mt-Nd4
ENSMUSG00000002496,-0.20092961928096786,0.00011595914558336862,0.101209798566663,Tsc2
ENSMUSG00000029594,-0.2873260323798678,5.2613292686958335e-05,0.101209798566663,Rbm19
ENSMUSG00000024422,-0.1920732346128134,0.00017743214798196877,0.101209798566663,Dhx16
ENSMUSG00000055053,-0.28604485187329187,0.00010226228813237385,0.101209798566663,Nfic
ENSMUSG00000020238,-0.20373724222102096,0.0001783729214512604,0.101209798566663,Ncln
ENSMUSG00000040356,-0.1784313765930049,0.00011043275843960478,0.101209798566663,Skic2
ENSMUSG00000030815,-0.17546216834986283,0.00019750009852362996,0.101209798566663,Phkg2
ENSMUSG00000024319,-0.2830847623655557,0.0001863509072304961,0.101209798566663,Vps52
ENSMUSG00000030741,-0.18088662132210853,0.00013666734653808906,0.101209798566663,Spns1
ENSMUSG00000034908,-0.26371679779067314,3.95632207129872e-05,0.101209798566663,Sidt2
ENSMUSG00000036450,-0.25289969249912625,0.00019943671753197814,0.101209798566663,Hif1an
ENSMUSG00000030602,-0.23353945895640926,3.976342930757971e-05,0.101209798566663,Pak4
ENSMUSG00000036529,-0.2576153108097322,6.577865920803189e-05,0.101209798566663,Sbf1
ENSMUSG00000015133,-0.4150636851315603,0.0001670660949369946,0.101209798566663,Lrrk1
ENSMUSG00000003662,-0.12367295817505924,0.00013745646461359051,0.101209798566663,Ciao1
ENSMUSG00000013646,-0.2131113541714274,5.5302304769446564e-05,0.101209798566663,Sh3bp5l
ENSMUSG00000064360,0.6252071742831643,0.00012742596267642617,0.101209798566663,mt-Nd3
ENSMUSG00000022614,-0.23284895484974683,0.00017185764271976928,0.101209798566663,Lmf2
ENSMUSG00000033985,-0.1969465791104929,0.00016054342487542233,0.101209798566663,Tesk2
ENSMUSG00000024947,-0.17399570413793697,0.00013633042952811082,0.101209798566663,Men1
ENSMUSG00000004054,-0.22135014895370853,0.0001043104295341796,0.101209798566663,Map3k11
ENSMUSG00000025579,-0.2627105291975985,0.00021556459226997274,0.10483624670729674,Gaa
ENSMUSG00000031862,-0.2041235502771318,0.00025040939937313715,0.11691114037933029,Atp13a1
ENSMUSG00000070461,-0.3606383424758448,0.0002835410725597196,0.12728813072757872,9230112E08Rik
ENSMUSG00000042423,-0.17934298528797177,0.0003305792362817259,0.13305244296138982,Fbrs
ENSMUSG00000001524,-0.21769632647588183,0.00032026500370646,0.13305244296138982,Gtf2h4
ENSMUSG00000049353,-0.49172108171359685,0.00031180495940775886,0.13305244296138982,Rd3
ENSMUSG00000039656,-0.15189510448831667,0.00039511671586308814,0.1441188221110614,Rxrb
ENSMUSG00000038888,-0.22431314037849617,0.0003863252710833097,0.1441188221110614,Ctu1
ENSMUSG00000063730,0.5874243312072942,0.0003947489448658766,0.1441188221110614,Hsd3b2
ENSMUSG00000034424,0.22573569910214153,0.0005456440800935793,0.14412501813151743,Gcsh
ENSMUSG00000020496,-0.21827539859887146,0.0005659743175291117,0.14412501813151743,Rnf187
ENSMUSG00000022558,-0.2348126986229851,0.0005164407229193072,0.14412501813151743,Mroh1
ENSMUSG00000025793,-0.1367311511639966,0.0004773870106858808,0.14412501813151743,Hgs
ENSMUSG00000026621,-0.20100569964968007,0.00044472484360642275,0.14412501813151743,Mtarc1
ENSMUSG00000028830,-0.2840691463812322,0.00052586865568575,0.14412501813151743,AU040320
ENSMUSG00000007036,-0.16552711506991719,0.0004968905727953572,0.14412501813151743,Abhd16a
ENSMUSG00000026269,-0.18496983228419195,0.000588566258324159,0.14412501813151743,Rnpepl1
ENSMUSG00000028960,-0.21372321661351512,0.0005180618461387156,0.14412501813151743,Ube4b
ENSMUSG00000048310,-0.20881208829004877,0.000534014181566925,0.14412501813151743,Pskh1
ENSMUSG00000051864,-0.23677873579395908,0.0006095967732382591,0.14412501813151743,Tbc1d22a
ENSMUSG00000053293,-0.340979002361701,0.0006420922672068975,0.14412501813151743,Pom121
ENSMUSG00000022537,-0.40201096155838945,0.00047440726937321735,0.14412501813151743,Tmem44
ENSMUSG00000028407,0.34596161830073957,0.0005731682440548792,0.14412501813151743,Tzmp1
ENSMUSG00000020260,-0.23901023676414235,0.00045744324405309374,0.14412501813151743,Pofut2
ENSMUSG00000030483,-0.79396408854577,0.0006241130120683191,0.14412501813151743,Cyp2b10
ENSMUSG00000017747,-0.21989734578498266,0.0005656933991052275,0.14412501813151743,Ghdc
ENSMUSG00000030718,-0.17639416186928292,0.0006414564051071327,0.14412501813151743,Ppme1
ENSMUSG00000029063,-0.17831744449585685,0.0006386366345548757,0.14412501813151743,Nadk
ENSMUSG00000031834,-0.1865943061595149,0.000603081798090142,0.14412501813151743,Pik3r2
ENSMUSG00000028886,-0.2810224588272837,0.0006967147085340506,0.15059359403721181,Eya3
ENSMUSG00000037098,-0.24193087901948612,0.000685260054667097,0.15059359403721181,Rab11fip3
ENSMUSG00000063904,-0.14728971124053358,0.0007320918281944384,0.15536319670337245,Dpp3
ENSMUSG00000028048,-0.12331010697055234,0.0010469171737019175,0.1626837781613315,Gba1
ENSMUSG00000028973,-0.13215736384229698,0.0010499064422017483,0.1626837781613315,Abcb8
ENSMUSG00000024392,-0.16312873517869142,0.000906691526537036,0.1626837781613315,Bag6
ENSMUSG00000031725,0.35258193087639933,0.0010313879885594731,0.1626837781613315,Ces1f
ENSMUSG00000032763,-0.19499441448155946,0.0010110654512356368,0.1626837781613315,Hacl2
ENSMUSG00000028096,-0.14278565776190255,0.0009656309013231824,0.1626837781613315,Gphr
ENSMUSG00000044139,-0.2730255686612385,0.0011150361765684133,0.1626837781613315,Prss53
ENSMUSG00000006736,-0.2707647498517476,0.0009601839060226964,0.1626837781613315,Tspan31
ENSMUSG00000038816,-0.32681636087731514,0.001072888710339917,0.1626837781613315,Ctnnal1
ENSMUSG00000047284,-0.23575622883302644,0.001002342312841602,0.1626837781613315,Neurl4
ENSMUSG00000024560,-0.23091223509549152,0.0010875210241953369,0.1626837781613315,Cxxc1
ENSMUSG00000030733,-0.1843019990445135,0.0010404210790829855,0.1626837781613315,Sh2b1
ENSMUSG00000033216,-0.1738199431146607,0.00092651724554326,0.1626837781613315,Eefsec
ENSMUSG00000017221,-0.17219365996297997,0.0009628488884753803,0.1626837781613315,Psmd3
ENSMUSG00000040564,0.24386902105538966,0.001076901219672071,0.1626837781613315,Apoc1
ENSMUSG00000030281,-0.18923988499677002,0.0008960967763772404,0.1626837781613315,Il17rc
ENSMUSG00000059995,-0.17606429213171731,0.0011019379620678177,0.1626837781613315,Atxn7l3
ENSMUSG00000035007,-0.149689619626027,0.001016253742395809,0.1626837781613315,Rundc1
ENSMUSG00000037787,0.14836811100022357,0.0008395261323092337,0.1626837781613315,Coa8
ENSMUSG00000034708,-0.31327192198717657,0.0009578038065648769,0.1626837781613315,Grn
ENSMUSG00000026558,-0.3008615986495396,0.0009369882493764279,0.1626837781613315,Uck2
ENSMUSG00000038145,-0.3047663240330246,0.0008679121508352259,0.1626837781613315,Snrk
ENSMUSG00000023118,-0.12585230541091186,0.0008678248352538494,0.1626837781613315,Sympk
ENSMUSG00000025571,-0.28632115044238843,0.0010469038691610978,0.1626837781613315,Tnrc6c
ENSMUSG00000027198,-0.15528035848748906,0.0010462522635764874,0.1626837781613315,Ext2
ENSMUSG00000027194,-0.22321213572578535,0.0011647009044628359,0.16347721942181734,Ttc17
ENSMUSG00000030816,-0.1622697983985842,0.0012015118392757441,0.16347721942181734,Rnf40
ENSMUSG00000022175,-0.17295363658501506,0.0012185159432572062,0.16347721942181734,Lrp10
ENSMUSG00000022554,-0.17464583646924015,0.0012076203077094935,0.16347721942181734,Hgh1
ENSMUSG00000018736,-0.22655675273627401,0.0012173702914349937,0.16347721942181734,Ndel1
ENSMUSG00000032855,-0.379023863226473,0.001210077800992204,0.16347721942181734,Pkd1
ENSMUSG00000032840,-0.2483127573111592,0.0011374630779647354,0.16347721942181734,Spring1
ENSMUSG00000040731,-0.11071238918344528,0.0012542264718425696,0.16635603840166444,Eif4h
